origin,destination,count
SEA,PIT,3
ATL,DTW,1 
SFO,SAN,2
IAH,LAX,1
SFO,AUS,5
LAX,BNA,1
PHL,SFO,5
JFK,DTW,3
LAX,DTW,3
SFO,MIA,3
IAD,CLT,1
IAD,DTW,1
IAD,MLB,1
AUS,DTW,1
ATL,JFK,3
AUS,BOS,5
JFK,MDW,7
IAH,PIT,1
SFO,MCO,1
MDW,BOS,3
SFO,MDW,10
JFK,PHL,4
SFO,DTW,2
LAX,SLC,1 
DAL,BNA,1
JFK,PHX,1
IAD,LAX,1
PIT,PHL,1
SFO,PHX,2
IAH,DAL,2
DTW,BNA,1
MCO,SLC,1
SFO,PIT,8
SFO,SLC,1
SEA,LAX,1
IAH,HVN,1
SEA,IAH,1 
SAN,MIA,1
IAH,IAD,2
SEA,SFO,10
MDW,LAX,2
SFO,CLT,2
MIA,PIT,1
IAH,BOS,3
ATL,BOS,3
LAX,RDU,1
ATL,MIA,1
IAH,MIA,1
IAH,BNA,1
JFK,SFO:29
HVN,MIA,1
SFO,RDU,2
SFO,DAL,3
AUS,RDU,1
BOS,SFO,11
SFO,LAX,4
MCO,RDU,1
AUS,MCO,1
AUS,ATL,1
LAX,DAL,2
DAL,BOS,4
HVN,BOS,1
ATL,DAL,1
MDW,DTW,2
JFK,AUS,3
MDW,SAN,1
IAD,DAL,1
MDW,ATL,1
BOS,DTW,3
MDW,PIT,1
DTW,PIT,1
LAX,ATL,1
SAN,PHX,1
IAW,MDW,1
HVN,SFO,2
MDW,SEA,4
PHL,SEA,2
PHL,MDW,2
PIT,JFK,3
AUS,PIT,1
BOS,PIT,3
HVN,PIT,1
RDU,SLC,1
RDU,SAN,1
SAN,ATL,1
ATL,BNA,1
PHX,ATL,2
SFO,ATL,3
ATL,IAH,1
MDW,MIA,1
MDW,DAL,1
MDW,PHX,1
BOS,MIA,1
PHX,MIA,1
BOS,JFK,9
BOS,SEA,2
BOS,LAX,3
BOS,BNA,2
BOS,LEX,1
AUS,SEA,1
AUS,BNA,1
AUS,SLC,1
AUS,IAH,1
AUS,DAL,2
SFO,IAH,3
IAH,JFK,2
DTW,IAH,1
IAH,MLB,1
JFK,SEA,7
IAD,SFO,3
SEA,DAL,1
DAL,DTW,2
SEA,DTW,1
SEA,IAD,2
IAD,JFK,2
MLB,JFK,2
AUS,LAX,2
MLB,SFO,2
JFK,LAX,4
JFK,BNA,1
JFK,CLT,1
DAL,JFK,3
MCO,LAX,1
